Country,LeagueName,TeamName,TeamId
USA,NBA,Atlanta Hawks,1182
USA,NBA,Boston Celtics,1067
USA,NBA,Brooklyn Nets,8055
USA,NBA,Charlotte Hornets,1185
USA,NBA,Chicago Bulls,1186
USA,NBA,Cleveland Cavaliers,1183
USA,NBA,Dallas Mavericks,1189
USA,NBA,Denver Nuggets,1228
USA,NBA,Detroit Pistons,1203
USA,NBA,Golden State Warriors,1177
USA,NBA,Houston Rockets,1193
USA,NBA,Indiana Pacers,1219
USA,NBA,Los Angeles Clippers,1171
USA,NBA,Los Angeles Lakers,1066
USA,NBA,Memphis Grizzlies,1206
USA,NBA,Miami Heat,1197
USA,NBA,Milwaukee Bucks,1184
USA,NBA,Minnesota Timberwolves,1202
USA,NBA,New Orleans Pelicans,1194
USA,NBA,New York Knicks,1213
USA,NBA,Oklahoma City Thunder,1205
USA,NBA,Orlando Magic,1127
USA,NBA,Philadelphia 76ers,1208
USA,NBA,Phoenix Suns,1121
USA,NBA,Portland Trail Blazers,1550
USA,NBA,Sacramento Kings,1225
USA,NBA,San Antonio Spurs,1190
USA,NBA,Toronto Raptors,1212
USA,NBA,Utah Jazz,1180
USA,NBA,Washington Wizards,1218
